hhh_gender...1,hhh_age,monthly_spending...3,any_drops,hhh_literacy...5,age,gender,hhid,group,benef,group1,group_tvn,maths_results,maths_results_s...14,any_drops_n...15,female,est_num_kids,f4,school_spending
1,37,10.70017073,1,2,3587.458333,2,A285006,2,2,1,1,6,0.858325047,0.143133648,FALSE,2,3,450
1,46,9.46514869,1,2,3144.416667,1,A285007,2,2,1,1,4,-1.334130819,0.143133648,FALSE,2,3,650
1,46,9.46514869,1,2,4554.416667,2,A285007,2,2,1,1,4,-1.334130819,0.143133648,FALSE,2,3,650
1,72,10.68688342,1,2,4638.416667,2,A286001,1,2,2,2,5,-0.237902886,0.143133648,FALSE,1,4,400
1,43,10.13176647,1,2,4689.458333,1,A286002,1,2,2,2,6,0.858325047,0.143133648,FALSE,2,2,700
1,43,10.13176647,1,2,4018.458333,2,A286002,1,2,2,2,6,0.858325047,0.143133648,FALSE,2,2,700
1,40,10.64715469,1,2,4232.416667,2,A286003,1,2,2,2,6,0.858325047,0.143133648,FALSE,2,3,550
1,44,10.07224129,1,2,3959.458333,1,A286005,1,2,2,2,5,-0.237902886,0.143133648,FALSE,1,3,175
1,40,10.30501635,1,2,3207.458333,2,A286008,1,2,2,2,6,0.858325047,0.143133648,FALSE,3,3,125
1,49,9.834979258,1,1,4119.416667,2,A288001,2,2,1,1,4,-1.334130819,0.143133648,FALSE,2,1,600
1,49,9.834979258,1,1,5076.458333,1,A288001,2,2,1,1,4,-1.334130819,0.143133648,FALSE,2,1,600
1,56,10.02111185,1,1,4239.416667,2,A288002,2,2,1,1,4,-1.334130819,0.143133648,FALSE,2,2,750
1,56,10.02111185,1,1,5115.458333,2,A288002,2,2,1,1,4,-1.334130819,0.143133648,FALSE,2,2,750
1,48,10.07151095,1,1,3595.458333,2,A288003,2,2,1,1,4,-1.334130819,0.143133648,FALSE,2,2,350
1,50,9.767586006,1,2,2118.458333,1,A288004,2,2,1,1,5,-0.237902886,0.143133648,FALSE,4,1,1080
1,50,9.767586006,1,2,4484.416667,1,A288004,2,2,1,1,5,-0.237902886,0.143133648,FALSE,4,1,1080
1,50,9.767586006,1,2,5001.416667,1,A288004,2,2,1,1,5,-0.237902886,0.143133648,FALSE,4,1,1080
1,50,9.767586006,1,2,2943.458333,1,A288004,2,2,1,1,5,-0.237902886,0.143133648,FALSE,4,1,1080
1,50,9.767586006,1,2,3630.458333,1,A288004,2,2,1,1,5,-0.237902886,0.143133648,FALSE,4,1,1080
1,42,10.49831288,1,1,2917.458333,1,A288005,2,2,1,1,5,-0.237902886,0.143133648,FALSE,3,2,830
1,42,10.49831288,1,1,4374.458333,1,A288005,2,2,1,1,5,-0.237902886,0.143133648,FALSE,3,2,830
1,46,9.937543854,1,1,3209.458333,2,A288006,2,2,1,1,5,-0.237902886,0.143133648,FALSE,2,1,370
1,46,9.937543854,0,1,5437.458333,2,A288006,2,2,1,1,5,-0.237902886,-6.985372839,FALSE,2,1,370
1,27,10.61741727,1,1,3578.458333,2,A291001,2,1,1,1,6,0.858325047,0.143133648,FALSE,2,2,840
1,27,10.61741727,1,1,4001.458333,1,A291001,2,1,1,1,6,0.858325047,0.143133648,FALSE,2,2,840
1,54,9.783456456,1,1,3140.416667,2,A291003,2,1,1,1,5,-0.237902886,0.143133648,FALSE,3,2,200
1,54,9.783456456,1,1,3960.458333,2,A291003,2,1,1,1,5,-0.237902886,0.143133648,FALSE,3,2,200
1,45,10.45917728,1,2,3117.416667,1,A291006,2,1,1,1,5,-0.237902886,0.143133648,FALSE,2,3,327
1,38,8.992770544,1,2,3431.416667,1,A292003,2,2,1,1,6,0.858325047,0.143133648,FALSE,3,2,800
